run_date,kms,weekly_goal,cumulative_weekly_kms,cumulative_weekly_goal_kms,week_number,week
2018-01-01 00:00:00+00:00,5.57,2.86,5.57,2.86,1,week 1.0
2018-01-08 00:00:00+00:00,30.55,20.0,36.12,22.86,2,week 2.0
2018-01-15 00:00:00+00:00,38.93,20.0,75.05,42.86,3,week 3.0
2018-01-22 00:00:00+00:00,35.69,20.0,110.74,62.86,4,week 4.0
2018-01-29 00:00:00+00:00,21.71,20.0,132.45,82.86,5,week 5.0
2018-02-05 00:00:00+00:00,36.25,20.0,168.69,102.86,6,week 6.0
2018-02-12 00:00:00+00:00,22.83,20.0,191.52,122.86,7,week 7.0
2018-02-19 00:00:00+00:00,40.91,20.0,232.43,142.86,8,week 8.0
2018-02-26 00:00:00+00:00,29.39,20.0,261.82,162.86,9,week 9.0
2018-03-05 00:00:00+00:00,30.85,20.0,292.67,182.86,10,week 10.0
2018-03-12 00:00:00+00:00,21.12,20.0,313.79,202.86,11,week 11.0
2018-03-19 00:00:00+00:00,0.0,20.0,313.79,222.86,12,week 12.0
2018-03-26 00:00:00+00:00,6.75,20.0,320.54,242.86,13,week 13.0
2018-04-02 00:00:00+00:00,9.72,20.0,330.26,262.86,14,week 14.0
2018-04-09 00:00:00+00:00,19.29,20.0,349.55,282.86,15,week 15.0
2018-04-16 00:00:00+00:00,39.13,20.0,388.67,302.86,16,week 16.0
2018-04-23 00:00:00+00:00,21.75,20.0,410.43,322.86,17,week 17.0
2018-04-30 00:00:00+00:00,33.91,20.0,444.34,342.86,18,week 18.0
2018-05-07 00:00:00+00:00,8.85,20.0,453.18,362.86,19,week 19.0
2018-05-14 00:00:00+00:00,5.5,20.0,458.69,382.86,20,week 20.0
2018-05-21 00:00:00+00:00,0.0,20.0,458.69,402.86,21,week 21.0
2018-05-28 00:00:00+00:00,3.28,20.0,461.96,422.86,22,week 22.0
2018-06-04 00:00:00+00:00,3.26,20.0,465.22,442.86,23,week 23.0
2018-06-11 00:00:00+00:00,8.31,20.0,473.53,462.86,24,week 24.0
2018-06-18 00:00:00+00:00,14.69,20.0,488.22,482.86,25,week 25.0
2018-06-25 00:00:00+00:00,12.95,20.0,501.17,502.86,26,week 26.0
2018-07-02 00:00:00+00:00,3.07,20.0,504.24,522.86,27,week 27.0
2018-07-09 00:00:00+00:00,5.3,20.0,509.54,542.86,28,week 28.0
2018-07-16 00:00:00+00:00,20.08,20.0,529.63,562.86,29,week 29.0
2018-07-23 00:00:00+00:00,28.36,20.0,557.99,582.86,30,week 30.0
2018-07-30 00:00:00+00:00,6.45,20.0,564.44,602.86,31,week 31.0
2018-08-06 00:00:00+00:00,9.73,20.0,574.18,622.86,32,week 32.0
2018-08-13 00:00:00+00:00,6.55,20.0,580.72,642.86,33,week 33.0
2018-08-20 00:00:00+00:00,19.06,20.0,599.78,662.86,34,week 34.0
2018-08-27 00:00:00+00:00,10.55,20.0,610.33,682.86,35,week 35.0
2018-09-03 00:00:00+00:00,10.66,20.0,620.99,702.86,36,week 36.0
2018-09-10 00:00:00+00:00,34.54,20.0,655.53,722.86,37,week 37.0
2018-09-17 00:00:00+00:00,30.1,20.0,685.63,742.86,38,week 38.0
2018-09-24 00:00:00+00:00,29.83,20.0,715.46,762.86,39,week 39.0
2018-10-01 00:00:00+00:00,30.6,20.0,746.06,782.86,40,week 40.0
2018-10-08 00:00:00+00:00,30.24,20.0,776.3,802.86,41,week 41.0
2018-10-15 00:00:00+00:00,29.04,20.0,805.34,822.86,42,week 42.0
2018-10-22 00:00:00+00:00,30.34,20.0,835.68,842.86,43,week 43.0
2018-10-29 00:00:00+00:00,32.06,20.0,867.73,862.86,44,week 44.0
2018-11-05 00:00:00+00:00,24.79,20.0,892.52,882.86,45,week 45.0
2018-11-12 00:00:00+00:00,5.35,20.0,897.88,902.86,46,week 46.0
2018-11-19 00:00:00+00:00,15.39,20.0,913.27,922.86,47,week 47.0
2018-11-26 00:00:00+00:00,12.35,20.0,925.62,942.86,48,week 48.0
2018-12-03 00:00:00+00:00,21.82,20.0,947.44,962.86,49,week 49.0
2018-12-10 00:00:00+00:00,11.28,20.0,958.72,982.86,50,week 50.0
2018-12-17 00:00:00+00:00,18.89,20.0,977.61,1002.86,51,week 51.0
2018-12-24 00:00:00+00:00,26.12,20.0,1003.73,1022.86,52,week 52.0
2018-12-31 00:00:00+00:00,5.15,17.14,1008.88,1040.0,1,week 1.0
