run_date,kms,cumulative_daily_actual_kms,daily_goal,cumulative_daily_goal,daily_kms_difference,daily_kms_cumulative_difference,week_number,week,weekly_actual_total,weekly_actual_cumulative,percentage_to_total_weekly,weekly_goal_total,weekly_goal_cumulative,percentage_to_total_weekly_goal,day_of_week,day_number,total_kms,diff_actual_vs_total
2018-01-01 00:00:00+00:00,5.57,5.57,2.86,2.86,1.95,-14.45,1,week 1.0,32.62,5.57,0.1707541385652974,20.02,2.86,0.14285714285714285,Mon,1,1003.78,27.049999999999997
2018-01-02 00:00:00+00:00,5.77,11.34,2.86,5.71,2.02,-8.68,1,week 1.0,32.62,11.34,0.3476394849785408,20.02,5.72,0.2857142857142857,Tue,2,1003.78,21.279999999999998
2018-01-03 00:00:00+00:00,4.95,16.29,2.86,8.57,1.73,-3.7300000000000004,1,week 1.0,32.62,16.29,0.4993868792152054,20.02,8.58,0.4285714285714286,Wed,3,1003.78,16.33
2018-01-04 00:00:00+00:00,0.75,17.04,2.86,11.43,0.26,-2.9800000000000004,1,week 1.0,32.62,17.04,0.522378908645003,20.02,11.44,0.5714285714285714,Thu,4,1003.78,15.579999999999998
2018-01-05 00:00:00+00:00,5.65,22.69,2.86,14.29,1.98,2.6700000000000017,1,week 1.0,32.62,22.689999999999998,0.6955855303494788,20.02,14.299999999999999,0.7142857142857143,Fri,5,1003.78,9.93
2018-01-06 00:00:00+00:00,6.02,28.71,2.86,17.14,2.11,8.690000000000001,1,week 1.0,32.62,28.709999999999997,0.8801348865726548,20.02,17.16,0.8571428571428572,Sat,6,1003.78,3.91
2018-01-07 00:00:00+00:00,3.91,32.61,2.86,20.0,1.37,12.59,1,week 1.0,32.62,32.62,1.0,20.02,20.02,1.0,Sun,7,1003.78,0.0
2018-01-08 00:00:00+00:00,3.51,36.12,2.86,22.86,1.23,16.099999999999998,2,week 2.0,33.87,3.51,0.10363153232949512,20.02,2.86,0.14285714285714285,Mon,8,1003.78,30.36
2018-01-09 00:00:00+00:00,0.41,36.53,2.86,25.71,0.14,16.51,2,week 2.0,33.87,3.92,0.1157366400944789,20.02,5.72,0.2857142857142857,Tue,9,1003.78,29.949999999999996
2018-01-10 00:00:00+00:00,11.37,47.9,2.86,28.57,3.98,27.88,2,week 2.0,33.87,15.29,0.45143194567463835,20.02,8.58,0.4285714285714286,Wed,10,1003.78,18.58
2018-01-11 00:00:00+00:00,5.32,53.22,2.86,31.43,1.86,33.2,2,week 2.0,33.87,20.61,0.608503100088574,20.02,11.44,0.5714285714285714,Thu,11,1003.78,13.259999999999998
2018-01-12 00:00:00+00:00,7.43,60.66,2.86,34.29,2.6,40.64,2,week 2.0,33.87,28.04,0.827871272512548,20.02,14.299999999999999,0.7142857142857143,Fri,12,1003.78,5.829999999999998
2018-01-13 00:00:00+00:00,2.01,62.67,2.86,37.14,0.7,42.650000000000006,2,week 2.0,33.87,30.049999999999997,0.8872158252140537,20.02,17.16,0.8571428571428572,Sat,13,1003.78,3.8200000000000003
2018-01-14 00:00:00+00:00,3.82,66.48,2.86,40.0,1.34,46.46000000000001,2,week 2.0,33.87,33.87,1.0,20.02,20.02,1.0,Sun,14,1003.78,0.0
2018-01-15 00:00:00+00:00,8.57,75.05,2.86,42.86,3.0,55.03,3,week 3.0,37.52,8.57,0.22841151385927505,20.02,2.86,0.14285714285714285,Mon,15,1003.78,28.950000000000003
2018-01-16 00:00:00+00:00,0.56,75.61,2.86,45.71,0.2,55.59,3,week 3.0,37.52,9.13,0.24333688699360342,20.02,5.72,0.2857142857142857,Tue,16,1003.78,28.39
2018-01-17 00:00:00+00:00,6.27,81.88,2.86,48.57,2.2,61.86,3,week 3.0,37.52,15.4,0.4104477611940298,20.02,8.58,0.4285714285714286,Wed,17,1003.78,22.120000000000005
2018-01-18 00:00:00+00:00,2.31,84.19,2.86,51.43,0.81,64.17,3,week 3.0,37.52,17.71,0.47201492537313433,20.02,11.44,0.5714285714285714,Thu,18,1003.78,19.810000000000002
2018-01-19 00:00:00+00:00,8.84,93.03,2.86,54.29,3.09,73.01,3,week 3.0,37.52,26.55,0.7076226012793176,20.02,14.299999999999999,0.7142857142857143,Fri,19,1003.78,10.970000000000002
2018-01-20 00:00:00+00:00,8.47,101.5,2.86,57.14,2.96,81.48,3,week 3.0,37.52,35.02,0.9333688699360341,20.02,17.16,0.8571428571428572,Sat,20,1003.78,2.5
2018-01-21 00:00:00+00:00,2.5,104.0,2.86,60.0,0.87,83.98,3,week 3.0,37.52,37.52,1.0,20.02,20.02,1.0,Sun,21,1003.78,0.0
